Exit Trade Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id
0,0,1687.1656359820488,2024-09-26,59.241382621765126,49.975012493741815,2024-09-27,58.91504297065735,49.69971797124943,-650.2637754723988,-0.00650588907360135,Long,Closed,0
1,0,1708.6387968647593,2024-10-07,58.11648802757263,49.6500430907181,2024-10-08,56.299053493499756,48.097373512879074,-3203.0865722823364,-0.03225663436414137,Long,Closed,1
2,0,1701.6057276135386,2024-10-10,56.47524499511719,48.049300176033285,2024-10-11,57.229393297195436,48.69093171117781,1186.5228383991714,0.01234693152712107,Long,Closed,2
3,0,1724.8577107665417,2024-10-15,56.40148147773743,48.64226511276502,2024-10-16,57.42282375526428,49.523100164127875,1663.5047374471703,0.01709937575471372,Long,Closed,3
4,0,1808.1347009192905,2024-10-23,54.72335859489441,49.473601813137066,2024-10-29,57.71758291816712,52.180582263762226,5312.30671716907,0.05368829560088976,Long,Closed,4
5,0,1804.234090121997,2024-11-04,57.7845502910614,52.128427758740145,2024-11-05,57.22017397117615,51.61929426075369,-1122.014718014057,-0.010762023393518718,Long,Closed,5
6,0,1821.15084001525,2024-11-06,56.631992946624756,51.567700763233006,2024-11-08,55.84770304870606,50.85354566003664,-1530.731452833381,-0.014841959503500993,Long,Closed,6
7,0,1877.938681488057,2025-02-21,54.104767135620115,50.802717528436915,2025-02-24,53.55813795471192,50.28944948681358,-1127.6282502728911,-0.011098109561182208,Long,Closed,7
8,0,1904.2554799066543,2025-02-26,52.76517326545715,50.2391851694847,2025-02-27,52.32210771942139,49.817330172487225,-943.7665093383965,-0.009392733044480456,Long,Closed,8
9,0,1829.3887934610088,2025-03-14,54.40892380714416,49.767537738531246,2025-03-18,55.54224901008606,50.80418395133613,1972.7207039189625,0.01981935206723735,Long,Closed,9
10,0,1820.3537172020258,2025-03-26,55.7621353225708,50.75340515677817,2025-03-28,55.58087257194519,50.58842399583627,-431.30415104420933,-0.004249016885782047,Long,Closed,10
11,0,1844.2717675398083,2025-03-31,54.805220947265624,50.53786085340835,2025-04-02,54.97253431510926,50.692146513734656,207.3413132788629,0.0020513463547682585,Long,Closed,11
12,0,1989.0777141181552,2025-04-04,50.91955868911743,50.641479700629134,2025-04-07,50.2603263206482,49.98584749435373,-1411.8917397424736,-0.013940071934005708,Long,Closed,12
13,0,1897.2573760208309,2025-04-23,52.640076416015624,49.935886627281434,2025-04-24,53.40823811912537,50.66458685589376,1356.7999837185105,0.01358541997907512,Long,Closed,13
14,0,1937.965280871268,2025-07-09,52.23411181640625,50.61394758865936,2025-07-10,53.37926472854615,51.72358088117935,2116.9290565459114,0.020912506901751,Long,Closed,14
15,0,1909.2261935726767,2025-07-11,54.12861328125,51.67188314915984,2025-07-14,53.456515665054326,51.030289962424916,-1385.888546590114,-0.013410470667281373,Long,Closed,15
16,0,1933.3500435773897,2025-07-18,52.73673574447631,50.97928517484979,2025-07-23,55.44568629264832,53.597960005034956,5132.772415177459,0.050341745647985436,Long,Closed,16
17,0,2002.3703613834077,2025-08-11,53.4810041770935,53.54438883061812,2025-08-19,53.21338167762757,53.27644915013216,-642.7001989506854,-0.006001564430810947,Long,Closed,17
18,0,2007.4189066181684,2025-08-20,53.0265,53.223199325890164,2025-08-28,55.37230152511597,55.57770249223992,4600.2054308734105,0.04321616784727293,Long,Closed,18
