Exit Trade Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id
0,0,756.9334610092429,2024-08-23,132.04598572540283,49.975012493741815,2024-08-27,132.94348950958252,50.31468781656714,579.0609453177067,0.0057935047579036544,Long,Closed,0
1,0,751.9724662486944,2024-08-28,133.68680511474608,50.264398273517145,2024-08-29,132.10391316986085,49.66925269372182,-1290.2248105677822,-0.012834380345575899,Long,Closed,1
2,0,759.317293179399,2024-09-03,130.6953198852539,49.61960826323775,2024-09-05,132.8235543899536,50.42761089492313,1515.958044201416,0.015275796174759309,Long,Closed,2
3,0,768.4987034309779,2024-09-09,131.10551328277586,50.3772084852244,2024-09-10,130.5646898803711,50.16939744346646,-516.1686894618823,-0.005123037827842183,Long,Closed,3
4,0,763.572951023769,2024-09-13,131.2756117172241,50.11925311817322,2024-09-16,131.31431488037111,50.1340294624347,-70.70059408249973,-0.0007053236998143355,Long,Closed,4
5,0,788.3289927864375,2024-09-23,127.06349999999999,50.08392048745009,2024-09-27,128.97547328948974,50.83755247622876,1406.3425045743443,0.014039860407158732,Long,Closed,5
6,0,787.8528544089264,2024-10-01,128.92443061065674,50.786740329815075,2024-10-02,129.78508110046388,51.12577330234724,576.1534314108334,0.005672282053042823,Long,Closed,6
7,0,800.7709569396711,2024-10-14,127.56375,51.07467307915795,2024-10-15,127.33630152511597,50.98360601271281,-284.19241197922395,-0.0027821265888356957,Long,Closed,7
8,0,809.2710480327313,2024-10-23,125.87290255737304,50.932647885754704,2024-10-24,126.53669847488403,51.201243294685554,435.0569266635223,0.004270904269883121,Long,Closed,8
9,0,809.2521725989039,2024-10-25,126.41317347335814,51.15006763921701,2024-10-29,127.18637500000001,51.462925146864464,523.1020225056351,0.0051134049928856186,Long,Closed,9
10,0,808.2704589247039,2024-11-04,127.21357652664186,51.41148794032051,2024-11-05,127.08642652511597,51.36010214527808,-205.54318017119687,-0.001999000499750115,Long,Closed,10
11,0,813.6304480481971,2024-11-07,126.12302755737304,51.30876771034673,2024-11-08,124.43775000000001,50.62317114330477,-1473.125072944631,-0.014355490676181887,Long,Closed,11
12,0,812.9843223408886,2024-11-11,124.41217347335815,50.572573271085275,2024-11-13,124.26783683013916,50.513901557059405,-218.42990290449143,-0.002159568801587213,Long,Closed,12
